None	AALB	ACEP	AGAM	AMEL	BMOR	BTAB	BTER	CNAS	CSOL	DANA	DARI	DBIA	DBIP	DBUS	DELE	DERE	DEUG	DGRI	DGUA	DHYD	DKIK	DMEL	DMIR	DMOJ	DNAV	DNOV	DOBS	DPER	DPLE	DPSE	DRHO	DSER	DSIM	DSUZ	DTAK	DVIR	DWIL	DYAK	GMEL	HKAH	MPHA	MSAC	NVIT	OBIR	PPOL	PXUT	SLEB	TCAS	TRNI	DSEC
LOC108010286|XP_016930644.1|DSUZ	0	0	0	0	0	0	0	0	0	125.2	0	308.1	125.9	0	211.5	197.6	213.0	0	0	52.0	90.1	218.0	77.8	55.1	57.8	58.5	94.7	0	0	0	165.39999999999998	91.3	211.5	360.1	268.5	58.5	77.4	207.2	0	0	0	0	0	0	0	0	47.4	0	0	210.7
LOC108013540|XP_016934928.1|DSUZ	0	0	0	0	0	0	0	0	0	93.2	0	793.5	71.2	0	373.6	391.3	468.8	0	94.0	0	111.90000000000002	138.45	109.4	0	0	0	122.1	109.4	0	106.7	247.65	108.45	143.85	1384.8	482.3	0	94.0	236.29999999999998	0	0	0	0	0	0	0	0	0	0	0	197.39999999999998
LOC108008107|XP_016927386.1|DSUZ	0	0	0	0	0	0	0	0	0	99.0	0	136.7	72.4	0	0	62.4	126.3	0	74.3	0	0	127.9	73.9	0	0	0	85.5	75.1	0	73.9	123.6	102.4	127.9	191.8	136.0	0	0	83.2	0	0	0	0	0	0	0	0	0	0	0	127.1
LOC108013114|XP_016934259.1|DSUZ	0	0	0	0	0	0	0	0	0	123.6	0	339.0	99.4	0	177.2	163.7	151.4	54.3	62.8	48.9	66.8	130.2	0	0	0	55.1	0	0	0	0	209.1	78.6	167.5	447.6	283.5	53.5	45.4	176.4	0	0	0	0	0	0	0	0	92.0	0	0	169.1
LOC108013095|XP_016934232.1|DSUZ	0	0	0	0	0	0	0	0	0	73.9	0	156.4	73.9	0	116.3	122.1	109.0	0	45.1	0	119.8	120.9	0	0	0	0	0	0	0	0	109.8	95.1	80.1	172.9	147.1	0	0	122.1	0	0	0	0	0	0	0	0	0	0	0	87.4
LOC108009025|XP_016928485.1|DSUZ	0	0	0	0	0	0	0	0	0	82.8	0	114.0	75.5	0	106.3	110.2	100.1	0	0	0	0	110.5	0	0	0	0	0	0	0	0	0	0	97.4	176.0	127.9	0	0	106.7	0	0	0	0	0	0	0	0	0	0	0	93.2
LOC108008890|XP_016928283.1|DSUZ	52.8	0	56.2	0	0	0	0	0	0	98.2	0	273.9	100.5	0	156.4	184.1	180.3	0	104.4	0	136.0	189.1	80.65	0	0	0	95.5	102.4	0	102.4	171.8	127.9	184.5	314.7	240.0	0	0	195.7	0	0	0	0	0	0	48.9	0	0	0	0	182.6
LOC108010092|XP_016930400.1|DSUZ	0	0	0	0	0	0	0	0	0	158.3	85.1	242.3	153.7	0	198.35000000000002	183.7	188.7	71.6	126.7	84.3	166.0	177.6	119.4	82.4	78.6	85.1	149.4	146.7	0	145.6	197.6	153.7	182.2	292.4	222.6	87.85	107.5	171.8	0	0	0	0	0	0	0	0	94.7	0	0	184.9
LOC108011653|XP_016932338.1|DSUZ	0	0	0	0	0	0	0	0	0	102.1	57.0	386.3	107.5	43.5	152.1	182.2	213.0	0	0	0	0	151.8	42.0	0	0	49.85	49.7	0	0	0	202.6	0	141.4	656.4	314.3	0	58.5	173.3	0	0	0	0	0	0	0	0	47.4	0	0	137.5
LOC108012340|XP_016933134.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	241.1	0	0	59.7	100.5	95.1	0	0	0	0	89.7	0	0	0	0	0	0	0	0	117.9	0	43.1	399.8	132.5	0	0	75.9	0	0	0	0	0	0	0	0	0	0	0	45.1
LOC108014023|XP_016935529.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	82.8	0	0	0	73.6	72.8	0	0	0	0	72.0	0	0	0	0	0	0	0	0	72.8	0	70.9	119.0	64.7	0	0	67.8	0	0	0	0	0	0	0	0	0	0	0	73.2
LOC108016745|XP_016938975.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	101.7	0	0	75.5	85.5	81.3	0	0	0	64.3	76.3	45.1	0	0	0	39.3	45.1	0	43.9	0	0	80.9	119.8	92.4	0	0	76.3	0	0	0	0	0	0	0	0	0	0	0	55.8
LOC108010793|XP_016931211.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	166.4	0	0	115.5	50.1	103.2	0	0	0	0	71.6	0	0	0	0	0	0	0	0	101.7	0	69.3	239.6	130.6	0	0	66.2	0	0	0	0	0	0	0	0	0	0	0	69.7
LOC108012784|XP_016933707.1|DSUZ	0	0	0	0	0	0	0	0	0	72.8	0	136.3	98.6	0	145.2	115.9	131.7	0	72.8	0	63.5	134.0	0	0	0	0	0	0	0	98.6	116.7	111.3	130.2	211.5	163.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166.4
LOC108016818|XP_016939116.1|DSUZ	0	0	0	0	0	0	0	0	0	61.2	0	293.9	84.0	0	0	123.6	116.3	0	0	0	0	89.0	44.3	0	0	0	49.3	0	0	0	152.1	41.6	88.2	550.1	283.1	0	66.6	141.7	0	0	0	0	0	0	0	0	0	0	0	91.7
LOC108008803|XP_016928196.1|DSUZ	0	0	0	0	0	0	0	0	0	0	47.8	103.6	0	0	82.4	62.4	78.2	0	46.2	0	43.9	64.7	0	48.9	50.1	48.5	0	61.6	0	0	72.0	46.6	71.6	142.9	132.9	50.1	0	68.9	0	0	0	0	0	0	0	0	0	0	0	82.0
LOC108011819|XP_016932545.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	75.9	0	0	57.0	53.1	74.3	0	0	0	43.5	66.6	0	0	0	0	0	0	0	0	46.6	43.5	65.5	218.8	49.7	0	0	72.8	0	0	0	0	0	0	0	0	0	0	0	65.5
LOC108004886|XP_016923459.1|DSUZ	0	0	0	0	0	0	0	0	0	77.0	56.2	125.2	70.5	61.2	97.1	92.0	89.7	60.5	81.6	56.2	79.7	99.8	78.2	0	57.8	60.5	76.6	76.3	0	76.3	99.8	77.0	97.1	159.1	119.0	60.5	61.6	90.1	0	0	0	0	0	0	0	0	60.5	0	0	89.0
LOC108009778|XP_016929903.1|DSUZ	0	0	0	0	0	0	0	0	0	0	102.8	253.4	0	131.3	165.6	205.7	186.8	0	136.3	100.5	103.6	191.4	110.69999999999999	102.8	102.4	98.6	146.7	112.8	0	112.8	190.7	87.4	194.1	303.5	230.7	102.8	73.2	205.3	0	0	0	0	0	0	0	0	110.5	0	0	193.0
LOC108012757|XP_016933679.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	146.4	0	0	72.8	41.6	55.8	0	47.4	0	0	60.8	0	0	0	0	0	0	0	0	60.5	0	48.9	219.5	107.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52.8
LOC108009989|XP_016930253.1|DSUZ	76.3	58.9	74.7	58.9	69.7	65.5	58.9	78.2	62.8	94.15	83.6	277.7	89.55	127.9	204.1	203.4	183.3	124.8	89.95	110.9	133.7	262.3	117.575	81.85	82.25	114.4	82.0	88.2	69.7	88.4	173.7	110.0	207.6	350.1	141.4	113.2	115.2	209.5	69.7	69.7	58.9	57.8	62.8	57.8	69.7	69.7	107.8	49.3	69.7	189.1
LOC108019222|XP_016942508.1|DSUZ	0	116.3	84.3	134.8	113.6	125.2	136.0	186.0	125.6	397.5	317.0	617.5	425.6	307.0	416.4	486.1	306.2	340.1	403.7	334.0	343.6	515.0	410.2	313.2	116.9	321.6	235.75	404.8	110.9	410.6	510.8	424.9	513.5	763.1	263.85	146.0	246.1	503.8	109.4	123.2	134.0	101.7	128.3	108.6	103.2	103.2	160.60000000000002	143.3	112.8	514.2
LOC108012768|XP_016933689.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	129.8	0	0	0	118.6	102.4	0	0	0	0	82.4	0	0	0	0	0	0	0	0	90.5	0	72.0	195.3	112.8	0	0	107.5	0	0	0	0	0	0	0	0	0	0	0	74.7
LOC108017075|XP_016939525.1|DSUZ	0	0	0	0	0	0	0	0	0	72.4	0	147.5	65.9	0	102.8	94.7	90.5	0	0	0	106.3	93.2	0	0	0	0	0	0	0	0	100.5	97.8	90.5	224.6	115.9	0	0	102.8	0	0	0	0	0	0	0	0	0	0	0	83.6
LOC108019233|XP_016942521.1|DSUZ	0	0	0	0	0	0	0	0	0	276.9	143.3	1162.5	270.4	121.7	529.6	699.9	709.5	124.4	0	101.7	297.7	764.2	0	142.1	0	150.2	0	0	0	0	233.06666666666663	321.2	761.1	1605.5	776.5	146.0	184.1	718.4	0	0	0	0	0	0	0	0	50.1	0	0	761.5
LOC108013164|XP_016934350.1|DSUZ	0	0	0	0	0	0	0	0	0	0	41.2	173.3	0	0	63.9	67.8	63.2	0	45.1	0	54.3	53.5	0	41.6	0	0	0	0	0	43.5	73.6	55.1	56.2	278.1	84.7	0	0	66.2	0	0	0	0	0	0	0	0	0	0	0	53.1
LOC108020880|XP_016944769.1|DSUZ	0	0	0	0	0	0	0	0	0	109.0	0	178.7	102.1	0	0	120.9	144.1	0	102.8	0	107.5	136.7	100.9	0	0	0	107.1	96.3	0	94.0	132.1	109.8	131.3	216.9	156.4	0	76.6	141.0	0	0	0	0	0	0	0	0	55.1	0	0	135.6
LOC108020292|XP_016943909.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	164.1	0	0	132.9	103.6	124.0	0	0	0	0	102.4	78.6	0	0	0	0	75.9	0	77.4	98.6	98.2	81.6	179.5	149.1	0	0	101.7	0	0	0	0	0	0	0	0	0	0	0	85.5
LOC108008871|XP_016928265.1|DSUZ	0	0	0	0	0	0	0	0	0	73.9	0	262.7	0	0	152.9	196.1	172.2	0	0	0	0	186.8	0	0	0	0	0	0	0	0	180.6	0	178.3	366.7	183.0	0	0	166.8	0	0	0	0	0	0	0	0	0	0	0	181.8
LOC108019773|XP_016943231.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	215.7	0	0	0	450.3	492.7	0	84.0	0	0	409.5	70.5	0	0	0	47.4	78.2	0	78.6	196.5333333333333	221.5	480.7	1698.3	684.1	0	61.6	450.7	0	0	0	0	0	0	0	0	0	0	0	482.3
LOC108009562|XP_016929514.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	441.8	0	0	100.1	63.2	67.8	0	0	0	0	72.8	0	0	0	0	0	0	0	0	173.3	0	0	996.9	221.1	0	0	73.9	0	0	0	0	0	0	0	0	0	0	0	67.4
LOC108021454|XP_016945669.1|DSUZ	0	0	0	0	0	0	0	0	0	168.70000000000002	133.3	1275.4	126.75	130.6	699.1	680.2	657.9	152.1	121.425	151.8	151.0	527.7	216.5	64.3	153.7	168.3	129.66666666666666	206.1	0	212.6	761.5	137.3	339.55	2053.1	448.0	163.7	194.3	751.1	0	0	0	0	0	0	0	0	184.1	0	0	339.75
LOC108010253|XP_016930595.1|DSUZ	116.3	84.7	117.1	98.6	0	90.9	62.4	103.6	63.5	750.7	545.4	915.6	758.1	577.0	782.3	836.3	856.3	566.2	634.8	543.5	762.3	818.9	407.70000000000005	542.7	550.8	569.3	664.5	645.2	75.1	649.8	852.4	741.5	835.1	1023.1	791.6	586.3	560.1	820.5	70.9	77.8	89.4	60.8	97.8	83.2	78.2	0	531.6	115.2	71.6	800.4
LOC108019732|XP_016943148.1|DSUZ	0	0	0	0	0	0	0	0	0	47.8	0	174.9	55.1	0	0	157.5	127.9	0	0	0	0	147.1	0	0	0	0	0	0	0	0	0	0	161.8	354.0	229.9	0	0	197.6	0	0	0	0	0	0	0	0	0	0	0	204.5
LOC108021256|XP_016945364.1|DSUZ	46.6	0	0	0	0	0	0	43.5	0	111.3	90.1	198.0	94.4	81.3	140.6	228.8	229.6	86.3	84.0	68.0	91.3	211.1	86.3	66.25	80.1	79.7	65.44999999999999	70.3	0	86.3	243.25	92.0	234.2	572.8	234.6	79.7	62.75	226.1	0	0	0	0	0	0	0	0	85.9	0	0	241.9
LOC108009897|XP_016930107.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	75.5	0	0	65.5	69.3	70.9	0	0	0	0	65.1	0	0	0	0	43.1	0	0	0	64.7	0	66.2	78.6	75.1	0	0	67.8	0	0	0	0	0	0	0	0	0	0	0	0
LOC108021220|XP_016945309.1|DSUZ	0	0	0	0	0	0	0	0	0	158.1	141.4	343.6	163.5	128.05	285.05	272.5	240.55	125.15	148.85	123.6	169.10000000000002	285.05	132.73333333333335	121.5	136.7	143.3	152.7	142.1	0	144.65	171.63333333333335	236.5	271.0	1185.2	701.8	135.95	173.3	264.85	0	0	0	0	0	0	0	0	155.05	0	0	269.25
LOC108016917|XP_016939329.1|DSUZ	0	0	0	0	0	0	0	0	0	76.3	0	337.8	46.6	0	117.9	107.1	71.25	0	0	0	0	86.3	0	0	0	42.7	0	0	0	0	174.5	0	90.5	508.4	206.1	42.7	0	126.3	0	0	0	0	0	0	0	0	0	0	0	80.5
LOC108007465|XP_016926626.1|DSUZ	94.35	104.0	98.2	92.0	87.4	92.4	94.4	88.6	81.6	145.2	142.5	254.2	146.4	121.3	143.85000000000002	163.7	187.6	130.2	134.0	139.8	141.0	159.8	107.65	141.7	145.2	124.4	155.2	159.1	91.7	159.1	0	148.7	167.5	453.4	191.4	127.1	144.4	153.7	94.7	90.1	107.1	89.7	79.7	91.3	81.3	81.6	128.6	87.4	88.6	168.3
LOC108017909|XP_016940567.1|DSUZ	0	0	0	0	0	0	0	0	0	63.5	0	114.8	75.1	0	87.8	78.6	97.1	0	56.2	0	78.6	92.4	56.6	0	0	0	45.1	55.8	0	54.7	97.8	78.6	94.4	135.6	121.3	0	0	88.6	0	0	0	0	0	0	0	0	0	0	0	94.4
LOC108014896|XP_016936606.1|DSUZ	0	0	0	0	0	0	0	0	0	77.8	0	145.2	0	0	99.0	107.8	120.9	0	63.9	0	0	105.9	77.4	0	0	0	67.0	74.7	0	74.3	73.6	102.1	106.3	189.5	107.8	0	62.8	108.6	0	0	0	0	0	0	0	0	0	0	0	106.7
LOC108017421|XP_016939936.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	100.5	0	0	70.5	84.0	75.1	0	0	0	0	89.7	0	0	0	0	0	0	0	0	0	0	85.9	114.8	77.8	0	0	91.7	0	0	0	0	0	0	0	0	0	0	0	85.9
LOC108006673|XP_016925701.1|DSUZ	0	0	0	0	0	0	0	0	0	64.3	47.0	381.3	65.5	55.1	173.7	269.6	243.4	0	41.6	43.9	0	241.1	0	47.0	43.5	47.4	45.4	0	0	0	196.8	0	217.6	477.6	300.8	46.2	49.7	258.1	0	0	0	0	0	0	0	0	0	0	0	217.6
LOC108009183|XP_016928824.1|DSUZ	0	0	0	0	0	0	0	0	0	106.3	41.2	236.9	121.7	0	182.6	185.7	167.2	0	55.1	0	0	181.0	55.65	0	0	0	49.3	53.1	0	53.1	189.1	0	174.5	283.5	210.7	0	0	188.3	0	0	0	0	0	0	0	0	0	0	0	172.9
LOC108012613|XP_016933522.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	179.9	77.4	0	0	119.4	152.1	42.7	0	0	0	127.1	48.5	0	0	0	45.1	0	0	42.7	122.1	55.1	122.1	386.3	150.6	0	0	102.4	0	0	0	0	0	0	0	0	44.7	0	0	125.6
LOC108016708|XP_016938923.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	73.6	0	0	52.4	62.8	58.2	0	41.2	0	0	56.6	41.2	0	0	40.0	42.0	0	0	42.4	72.4	42.7	61.6	106.3	58.2	41.2	41.6	58.5	0	0	0	0	0	0	0	0	0	0	0	62.8
LOC108005526|XP_016924308.1|DSUZ	0	0	0	0	0	0	0	0	0	136.7	52.2	727.6	160.2	62.4	364.0	409.1	455.7	0	102.8	60.45	123.6	407.5	133.3	48.9	0	68.9	122.44999999999999	136.7	0	131.0	0	146.7	402.1	1036.6	555.1	72.4	100.9	435.3	0	0	0	0	0	0	0	0	68.6	0	0	361.7
LOC108018190|XP_016941189.1|DSUZ	0	0	0	0	0	0	0	46.2	0	186.0	93.2	461.8	182.6	87.4	375.2	304.3	336.7	76.3	115.5	96.3	194.5	313.5	0	87.4	85.5	89.4	140.6	157.1	0	157.1	247.05	212.6	309.7	669.1	321.2	84.3	86.7	313.5	0	0	0	0	0	0	0	0	90.1	0	0	311.2
LOC108008641|XP_016928010.1|DSUZ	0	0	0	0	0	0	0	0	0	50.8	0	591.3	63.9	0	185.7	261.2	176.8	0	0	0	59.3	216.5	0	0	0	0	0	0	0	0	188.0	0	211.8	912.5	172.9	0	0	222.6	0	0	0	0	0	0	0	0	0	0	0	198.0
LOC108009333|XP_016929098.1|DSUZ	0	0	0	0	0	0	0	0	0	80.5	0	751.1	79.3	47.4	168.9	161.2	215.7	0	0	0	0	171.2	0	0	0	0	0	0	0	0	176.0	93.2	209.9	1448.0	261.70000000000005	0	0	154.85	0	0	0	0	0	0	0	0	0	0	0	194.1
LOC108012765|XP_016933686.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	123.2	0	0	0	68.6	80.9	0	0	0	0	60.8	0	0	0	0	0	0	0	0	0	0	62.8	161.8	98.6	0	0	65.5	0	0	0	0	0	0	0	0	0	0	0	65.5
LOC108016850|XP_016939199.1|DSUZ	0	0	0	0	0	0	0	0	0	144.1	57.0	434.9	121.3	0	258.8	253.8	175.3	0	0	58.5	88.6	266.5	75.9	58.9	0	55.1	68.6	0	0	78.2	252.7	75.1	265.0	512.3	334.3	57.4	72.4	260.8	0	0	0	0	0	0	0	0	59.7	0	0	265.0
LOC108005923|XP_016924821.1|DSUZ	0	0	0	0	0	0	0	0	0	79.0	0	620.9	105.5	0	287.0	288.9	336.3	0	52.4	0	144.8	292.4	0	0	0	0	51.6	46.6	0	43.9	291.6	118.2	271.6	1102.4	412.9	0	0	248.1	0	0	0	0	0	0	0	0	0	0	0	268.5
LOC108008904|XP_016928298.1|DSUZ	0	0	0	0	0	0	0	0	0	58.2	0	162.5	0	0	112.8	126.3	117.5	0	0	0	79.7	126.7	0	0	0	0	0	0	0	0	110.35	79.7	129.8	177.9	136.7	0	0	130.2	0	0	0	0	0	0	0	0	0	0	0	132.5
LOC108007275|XP_016926403.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	950.7	0	0	543.5	558.9	414.1	0	0	0	79.35	518.8	0	0	0	0	0	0	0	0	587.0	88.4	496.5	1418.7	391.5	0	0	531.6	0	0	0	0	0	0	0	0	0	0	0	515.0
LOC108012065|XP_016932836.1|DSUZ	0	0	0	0	0	0	0	0	0	65.9	58.2	226.1	74.3	47.0	76.6	123.2	137.5	51.2	48.5	57.8	0	113.6	42.4	58.2	54.3	51.6	0	0	0	0	109.8	0	105.1	349.7	157.1	53.1	51.2	151.4	0	0	0	0	0	0	0	0	48.5	0	0	86.7
LOC108012566|XP_016933470.1|DSUZ	0	0	0	0	0	0	0	0	0	127.5	0	512.7	117.9	68.2	346.7	319.3	229.2	102.4	114.8	113.6	170.45	327.0	84.3	101.7	104.8	103.2	78.83333333333333	96.7	0	101.3	286.95	252.3	358.6	608.6	250.2	108.2	70.1	301.2	0	0	0	0	0	0	0	0	82.4	0	0	349.4
LOC108016213|XP_016938331.1|DSUZ	0	0	0	0	0	0	0	0	0	93.2	0	185.7	83.6	0	0	118.2	144.1	59.3	0	74.3	67.0	109.0	0	58.9	69.3	77.8	0	0	0	0	0	85.9	104.4	253.8	129.8	77.4	90.1	82.8	0	0	0	0	0	0	0	0	0	0	0	104.8
LOC108011117|XP_016931678.1|DSUZ	0	0	0	0	0	0	0	0	0	216.9	113.2	415.6	179.1	110.9	184.1	337.4	315.1	84.0	173.7	129.4	165.6	307.8	140.6	109.4	118.2	138.3	167.2	143.3	0	136.0	211.25	123.65	290.0	605.9	368.6	135.6	180.3	302.8	0	0	0	0	0	0	0	0	134.8	0	0	286.2
LOC108005195|XP_016923869.1|DSUZ	0	0	0	0	0	0	0	0	0	51.2	0	148.3	56.2	0	85.9	84.3	76.6	0	0	0	52.8	76.6	0	0	0	0	0	0	0	0	100.5	50.8	73.2	375.6	111.7	0	0	83.6	0	0	0	0	0	0	0	0	0	0	0	72.8
LOC108019366|XP_016942676.1|DSUZ	0	0	0	0	0	0	0	0	0	127.9	0	268.5	130.6	0	238.8	216.1	224.2	0	119.8	0	127.1	214.5	117.9	0	0	0	106.3	118.2	0	114.8	228.95	125.2	226.1	304.3	251.1	0	0	214.2	0	0	0	0	0	0	0	0	89.4	0	0	222.6
LOC108018971|XP_016942066.1|DSUZ	0	0	0	0	0	0	0	0	0	156.4	0	476.1	182.2	0	278.9	256.1	253.1	0	115.2	0	169.9	240.7	110.2	0	60.1	57.8	125.6	114.8	0	120.2	265.0	149.8	261.2	676.4	339.0	58.2	65.1	245.4	0	0	0	0	0	0	0	0	0	0	0	256.9
LOC108008933|XP_016928333.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	209.5	0	0	0	109.8	95.9	0	0	0	0	104.4	0	0	0	0	0	0	0	0	0	0	107.5	282.0	130.2	0	0	110.2	0	0	0	0	0	0	0	0	0	0	0	98.6
LOC108021268|XP_016945387.1|DSUZ	0	0	0	0	0	0	0	0	0	132.1	77.0	222.6	127.1	0	137.5	140.6	150.2	0	0	69.3	107.1	145.2	0	77.0	75.1	72.0	0	0	0	0	159.5	127.1	142.5	295.0	183.7	72.4	89.4	143.3	0	0	0	0	0	0	0	0	70.5	0	0	138.3
LOC108020593|XP_016944433.1|DSUZ	0	0	0	0	0	0	0	0	0	142.1	0	278.1	132.1	0	194.5	183.0	171.0	0	58.9	0	123.6	194.9	44.7	0	0	0	55.8	47.55	0	47.95	204.5	117.9	193.0	378.3	255.8	0	41.2	205.7	0	0	0	0	0	0	0	0	0	0	0	190.3
LOC108021798|XP_016946090.1|DSUZ	74.1	61.6	77.4	65.5	75.5	70.1	63.2	0	0	105.9	107.5	97.8	96.7	105.1	108.6	110.9	112.8	105.9	105.1	112.5	102.8	73.6	117.5	107.5	108.2	110.2	107.1	116.3	67.0	115.9	93.6	99.4	111.7	174.5	112.5	110.2	118.2	110.9	76.3	0	61.2	52.0	0	58.5	0	65.1	76.45	70.1	0	117.5
LOC108005699|XP_016924514.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	89.4	0	0	62.4	58.2	68.6	0	0	0	0	60.1	0	0	0	0	0	0	0	0	0	0	59.7	116.7	85.1	0	0	55.5	0	0	0	0	0	0	0	0	0	0	0	57.0
LOC108011126|XP_016931686.1|DSUZ	0	0	0	0	0	0	0	0	0	124.0	0	337.8	111.7	55.8	215.3	225.3	215.7	0	0	48.5	0	193.0	0	53.1	52.8	60.1	0	0	0	0	233.4	89.0	160.6	507.7	276.2	61.6	0	211.5	0	0	0	0	0	0	0	0	72.0	0	0	165.2
LOC108012729|XP_016933652.1|DSUZ	0	0	0	0	0	0	0	0	0	40.8	0	166.8	45.8	0	0	109.0	55.5	0	0	0	51.2	101.3	0	0	0	0	0	0	0	0	82.8	0	99.4	231.9	108.6	0	0	92.8	0	0	0	0	0	0	0	0	0	0	0	99.8
LOC108016569|XP_016938731.1|DSUZ	0	0	0	0	0	0	0	0	0	0	0	90.9	0	0	87.4	90.1	77.4	0	0	0	0	87.0	0	0	0	0	0	0	0	0	79.7	0	89.4	172.2	81.3	0	0	88.2	0	0	0	0	0	0	0	0	0	0	0	87.8
LOC108010020|XP_016930306.1|DSUZ	0	0	0	0	0	0	0	0	0	122.10000000000001	77.4	315.8	87.4	0	224.2	139.4	188.7	88.6	109.0	105.1	96.7	139.4	0	76.6	101.3	77.8	109.0	0	0	0	245.0	90.7	152.1	419.1	253.1	77.8	0	153.3	0	0	0	0	0	0	0	0	139.8	0	0	152.9
