GeneID	GeneLength
GstE6|NP_611328.1|DMEL	222
GstE8|NP_611330.2|DMEL	222
GstE7|NP_611329.1|DMEL	223
Cyp9f3|NP_001350862.1|DMEL	433
Cyp9f2|NP_650189.1|DMEL	516
Or85c|NP_524280.2|DMEL	389
Or85b|NP_524279.2|DMEL	390
GstD8|NP_524916.1|DMEL	212
GstD4|NP_524913.1|DMEL	215
GstD3|NP_788656.1|DMEL	199
LysP|NP_476828.1|DMEL	141
LysD|NP_476823.1|DMEL	140
CG6283|NP_651524.1|DMEL	339
CG17191|NP_651523.1|DMEL	337
CG6271|NP_651526.1|DMEL	341
CG6277|NP_651525.1|DMEL	341
PGRP-SC1a|NP_610407.1|DMEL	185
PGRP-SC1b|NP_610409.1|DMEL	185
CG11951|NP_001350853.2|DMEL	841
CG31445|NP_651689.1|DMEL	927
SP1029|NP_652618.1|DMEL	932
CG30148|NP_665889.1|DMEL	124
GNBP3|NP_523986.2|DMEL	490
Cyp4ac1|NP_608916.1|DMEL	509
Cyp4ac3|NP_608918.1|DMEL	509
CG11889|NP_651367.1|DMEL	417
CG11891|NP_001027211.3|DMEL	418
CG11878|NP_651369.1|DMEL	420
CG33301|NP_001285793.1|DMEL	407
CG16898|NP_611452.2|DMEL	407
mthl12|NP_731791.2|DMEL	488
mthl4|NP_788394.1|DMEL	517
mthl3|NP_663308.1|DMEL	511
mth|NP_728521.1|DMEL	522
AOX4|NP_650478.1|DMEL	1256
AOX3|NP_650477.1|DMEL	1254
Ugt37A1|NP_523607.2|DMEL	522
Ugt37A2|NP_650228.1|DMEL	530
CG2064|NP_610310.2|DMEL	330
CG2065|NP_610309.1|DMEL	300
CG10863|NP_647840.1|DMEL	316
CG12766|NP_647839.1|DMEL	320
CG18746|NP_652649.1|DMEL	438
CG18748|NP_001097703.1|DMEL	409
CG5783|NP_609869.1|DMEL	287
CG15155|NP_609868.1|DMEL	258
LManVI|NP_609253.1|DMEL	1007
LManV|NP_609252.1|DMEL	982
LManIV|NP_609251.2|DMEL	978
CG6901|NP_650531.1|DMEL	485
CG17929|NP_650532.2|DMEL	491
CG32054|NP_729588.1|DMEL	563
CG42825|NP_729590.1|DMEL	518
CG31327|NP_731888.1|DMEL	861
CG31533|NP_731887.1|DMEL	844
CG9722|NP_650341.1|DMEL	264
Nmda1|NP_523722.1|DMEL	324
CG13658|NP_651374.2|DMEL	422
CG11893|NP_651375.1|DMEL	416
CG31300|NP_651373.2|DMEL	422
CG31104|NP_733090.1|DMEL	420
CG5653|NP_648269.1|DMEL	476
CG6034|NP_649005.1|DMEL	479
CG7460|NP_649004.1|DMEL	486
CG9555|NP_609265.1|DMEL	275
CG17906|NP_609266.1|DMEL	275
MstProx|NP_649719.2|DMEL	965
Toll-4|NP_523519.2|DMEL	1125
CG31086|NP_733139.1|DMEL	148
CG32633|NP_572898.1|DMEL	285
AANATL5|NP_611403.1|DMEL	222
AANATL6|NP_611405.2|DMEL	222
AANATL4|NP_611406.1|DMEL	224
CG4988|NP_609514.1|DMEL	368
CG32445|NP_730671.1|DMEL	367
Phae2|NP_609551.2|DMEL	265
Phae1|NP_609550.1|DMEL	270
Tim17a2|NP_649524.1|DMEL	224
Tim17a1|NP_650180.1|DMEL	222
vanin-like|NP_572297.1|DMEL	558
CG32751|NP_001284927.1|DMEL	525
CAH6|NP_001097987.1|DMEL	298
CAH16|NP_001287620.1|DMEL	286
Cys|NP_476856.1|DMEL	126
CG8066|NP_650374.1|DMEL	104
CG13978|NP_651562.2|DMEL	898
CG6790|NP_650087.2|DMEL	897
ACXC|NP_609593.1|DMEL	1130
ACXB|NP_620474.2|DMEL	1114
ACXA|NP_620475.2|DMEL	1112
ACXE|NP_652601.3|DMEL	1123
CG12376|NP_610405.3|DMEL	617
CG5348|NP_611156.3|DMEL	625
CG14743|NP_610408.2|DMEL	611
CG14744|NP_001097232.2|DMEL	620
CRAT|NP_649650.2|DMEL	662
CG5265|NP_650605.1|DMEL	643
Cyp313a5|NP_650168.1|DMEL	487
Cyp313a1|NP_650368.1|DMEL	492
Cyp313a2|NP_650169.3|DMEL	493
Cyp313a3|NP_650170.2|DMEL	492
CG13801|NP_647714.1|DMEL	690
CG11262|NP_648617.2|DMEL	702
CG5418|NP_609571.1|DMEL	355
CG11158|NP_572912.1|DMEL	344
CG18324|NP_725361.1|DMEL	307
CG18327|NP_610934.1|DMEL	304
Takl1|NP_732554.1|DMEL	393
Takl2|NP_651090.2|DMEL	281
blanks|NP_647966.1|DMEL	324
CG12493|NP_647927.3|DMEL	296
CG31468|NP_732890.1|DMEL	80
CG31870|NP_723620.1|DMEL	79
CG3123|NP_608716.1|DMEL	634
CG14731|NP_650130.1|DMEL	641
Qsox3|NP_650997.1|DMEL	562
Qsox2|NP_650998.1|DMEL	552
CG18418|NP_647924.2|DMEL	311
CG7514|NP_647923.1|DMEL	301
CG31674|NP_610063.4|DMEL	327
CG9331|NP_788080.1|DMEL	364
Prosalpha4|NP_525092.1|DMEL	249
Prosalpha4T1|NP_650910.1|DMEL	249
GstT2|NP_724816.3|DMEL	228
GstT1|NP_610509.2|DMEL	228
CG2187|NP_651890.1|DMEL	623
salt|NP_651889.3|DMEL	622
CG9649|NP_650343.1|DMEL	504
CG31326|NP_650344.2|DMEL	520
p38c|NP_996277.1|DMEL	356
p38a|NP_477163.1|DMEL	366
Sr-CII|NP_524720.2|DMEL	599
Sr-CI|NP_477102.1|DMEL	629
ItgaPS5|NP_611808.2|DMEL	1018
ItgaPS4|NP_611025.2|DMEL	1069
CG1827|NP_610504.4|DMEL	393
CG10474|NP_611404.1|DMEL	341
CG30037|NP_725097.2|DMEL	420
CG30036|NP_725096.2|DMEL	388
CG31262|NP_732222.2|DMEL	579
CG33124|NP_001097056.3|DMEL	588
CG31668|NP_001097055.2|DMEL	590
CG13323|NP_610832.1|DMEL	112
CG13324|NP_610833.1|DMEL	112
CG1635|NP_651873.3|DMEL	448
CG1638|NP_001097991.1|DMEL	443
CG14628|NP_569883.1|DMEL	141
CG18823|NP_659571.1|DMEL	106
CG13898|NP_612058.1|DMEL	151
CG30378|NP_724628.1|DMEL	148
CG13526|NP_611714.1|DMEL	154
CG4598|NP_609322.1|DMEL	281
CG4594|NP_609323.1|DMEL	280
CG15177|NP_649672.1|DMEL	225
sowi|NP_649671.2|DMEL	217
Cyp4e2|NP_477117.2|DMEL	526
Cyp4e1|NP_524771.1|DMEL	531
CG17562|NP_650566.1|DMEL	499
CG14893|NP_650568.2|DMEL	510
CG17560|NP_650567.1|DMEL	499
Sgp|NP_609241.1|DMEL	523
CG10097|NP_731699.2|DMEL	501
CG33700|NP_001027121.3|DMEL	175
CG33702|NP_001027120.1|DMEL	179
CG33783|NP_001027168.1|DMEL	164
CG33784|NP_001027169.1|DMEL	183
CG33679|NP_001027273.1|DMEL	173
CG33752|NP_001027409.1|DMEL	185
CG33688|NP_001027131.1|DMEL	175
CG33689|NP_001027132.2|DMEL	178
CG33723|NP_001027235.1|DMEL	180
CG33463|NP_995846.2|DMEL	180
CG33912|NP_001027139.1|DMEL	165
CG33632|NP_001036537.1|DMEL	180
CG33764|NP_001027107.1|DMEL	180
CG33798|NP_001027414.1|DMEL	178
CG33483|NP_001189327.1|DMEL	229
CG33923|NP_001027216.2|DMEL	178
CG33922|NP_001027217.1|DMEL	178
CG33648|NP_001027265.2|DMEL	178
CG33796|NP_001027128.1|DMEL	179
CG33795|NP_001027129.2|DMEL	178
CG33453|NP_995888.1|DMEL	175
CG13589|NP_611918.2|DMEL	174
CG13590|NP_611919.1|DMEL	193
Or33a|NP_523553.1|DMEL	378
Or33b|NP_523554.1|DMEL	379
Or65a|NP_729161.1|DMEL	417
Or65b|NP_729162.3|DMEL	406
Or65c|NP_729163.2|DMEL	410
CG4318|NP_572860.2|DMEL	236
Neu2|NP_649316.1|DMEL	382
CG4793|NP_723941.2|DMEL	910
CG31780|NP_723920.1|DMEL	464
CG18477|NP_609763.1|DMEL	464
SPH93|NP_609840.1|DMEL	494
CG14990|NP_647856.2|DMEL	322
CG3117|NP_608722.2|DMEL	347
CG18537|NP_611313.1|DMEL	188
CG18538|NP_611314.2|DMEL	182
CheB42c|NP_995764.2|DMEL	196
CheB38c|NP_610061.2|DMEL	198
TwdlK|NP_651488.1|DMEL	247
TwdlJ|NP_651489.2|DMEL	274
CG18636|NP_995714.2|DMEL	349
CG43336|NP_001247122.1|DMEL	279
CG33462|NP_995844.2|DMEL	300
CG33461|NP_995843.3|DMEL	287
Ir52b|NP_725469.2|DMEL	596
Ir52a|NP_611041.2|DMEL	599
Ir52d|NP_611042.2|DMEL	594
Ir52c|NP_725470.1|DMEL	599
Gr22b|NP_001014456.1|DMEL	386
Gr22f|NP_722729.2|DMEL	378
CG17198|NP_001287532.1|DMEL	299
CG17197|NP_651425.2|DMEL	290
CG17196|NP_651426.1|DMEL	276
CG17195|NP_651427.2|DMEL	283
CG13029|NP_648928.1|DMEL	288
Drsl4|NP_728862.1|DMEL	71
Drsl3|NP_728861.1|DMEL	71
Cyp4p3|NP_610473.1|DMEL	515
Cyp4p1|NP_524828.1|DMEL	513
CG15820|NP_647696.1|DMEL	308
CG5704|NP_652068.1|DMEL	335
Eig71Ea|NP_524088.2|DMEL	100
Eig71Ed|NP_524091.1|DMEL	99
CG13110|NP_609282.1|DMEL	133
CG31347|NP_731735.1|DMEL	143
CG14391|NP_650225.2|DMEL	135
Eig71Eg|NP_524094.2|DMEL	98
Eig71Ek|NP_648797.1|DMEL	97
Eig71Ec|NP_524090.2|DMEL	173
Eig71Eb|NP_524089.2|DMEL	95
CG13793|NP_609136.2|DMEL	583
CG13794|NP_609137.2|DMEL	595
CG13749|NP_610428.2|DMEL	183
CG33470|NP_995829.2|DMEL	257
IMPPP|NP_725288.1|DMEL	257
CG44142|NP_001262532.1|DMEL	83
CG45080|NP_001287312.1|DMEL	55
Gr36c|NP_724040.1|DMEL	390
Gr36b|NP_724039.1|DMEL	391
Ugt303B1|NP_651153.1|DMEL	519
Ugt303B3|NP_651152.1|DMEL	539
CG9616|NP_650347.2|DMEL	155
CG43291|NP_001247093.1|DMEL	137
CG42690|NP_001188981.1|DMEL	137
CG42691|NP_001188982.1|DMEL	140
CG32192|NP_730325.1|DMEL	136
CG42393|NP_001137967.1|DMEL	135
CheB53b|NP_001014531.1|DMEL	204
CheB53a|NP_001014530.1|DMEL	226
CG31680|NP_724273.1|DMEL	147
CG17472|NP_610040.1|DMEL	159
Spn38F|NP_524956.2|DMEL	372
Spn28F|NP_524957.2|DMEL	375
